size,method_name,total_time,cumulative_time,per_call_time
2,push_relabel_max_flow,5.64e-05,0.000114,0.000114
2,push_relabel_max_flow,4.0900000000000005e-05,7.81e-05,7.81e-05
2,push_relabel_max_flow,3.9200000000000004e-05,7.61e-05,7.61e-05
3,push_relabel_max_flow,0.0008810000000000001,0.0022795000000000003,0.0022795000000000003
3,push_relabel_max_flow,0.0009083,0.0023079000000000003,0.0023079000000000003
3,push_relabel_max_flow,0.0010011,0.0024686,0.0024686
4,push_relabel_max_flow,0.0228256,0.0024139,0.00120695
4,push_relabel_max_flow,0.0084738,0.019867100000000002,0.019867100000000002
4,push_relabel_max_flow,0.0190344,0.0471781,0.0471781
5,push_relabel_max_flow,1.2117189000000002,3.0449696000000004,3.0449696000000004
5,push_relabel_max_flow,1.1431024,2.8765862,2.8765862
5,push_relabel_max_flow,0.7153591,1.7045100000000002,1.7045100000000002
6,push_relabel_max_flow,4.1715404000000005,9.100133300000001,9.100133300000001
6,push_relabel_max_flow,3.0793341,6.7261971,6.7261971
6,push_relabel_max_flow,3.986521,8.594475300000001,8.594475300000001
